Charleston shooting victim Sharonda Coleman-Singleton was mother, teacher, coach, minister - Post and Courier 

Charleston shooting victim Sharonda Coleman-Singleton was mother, teacher, coach, minister - Post and Courier
































































































































































Charleston shooting victim Sharonda Coleman-Singleton was mother, teacher, coach, minister


































Sections










News






Sports






Politics






Food






Entertainment






Features






Opinion






Obituaries






Classifieds






Subscribe




































Categories




Local


Crime


Business


Death Notices


Special Reports


Databases


Interactive Graphics








Latest News














Streets flooded; rescue boat in Shadowmoss to check on residents




















MUSC gets $13.5M to study safety of blood thinners




















S.C. gasoline prices now average $2.01 a gallon










Additional Links




Brian Hicks


Frank Wooten


Homicides Map


Hurricane Guide


Traffic Cams


Emanuel AME Shooting


Walter Scott Shooting
















Categories




Prep Zone


South Carolina


Clemson


Local Colleges


Minor Leagues


Outdoors


Golf


Auto Racing


National Sports








Latest News














Clemson still in hunt for WR Overton; South Carolina closer to getting OL Leota




















The Hangover, Part I: Scouting Wofford














Spurrier vs. The Best: Gamecock coach on playing and coaching against biggest names in college football, NFL history










Additional Links




Gene Sapakoff


Recruiting News


Clemson Blog


South Carolina Blog


Pro Wrestling News


Sports Medicine
















Categories




Legislature


State Government


Local Politics


State Politics


Federal Politics


Elections








Latest News














Gov. Haley speaking at National Press Club on Wednesday




















Palmetto Sunrise: CDV, Education Taskforces to discuss recommendations




















Mayor’s race: Ginny Deerin says leadership, planning skills set her apart 










Additional Links




Presidential Candidate Visits


Find your precinct


State Republicans


State Democrats


Congressional Voting Records


2014 General Election Results


Track political finances
















Categories




Reviews


Openings


Recipes


Beverages


Forked Path


Save the Receipt








Latest News














Brewers question alcohol distribution system




















Rum is back, and looking back




















Like writing fiction, cooking for her is play and adventure










Additional Links




Charleston Eating Tour


Hanna Raskin Blog


#FirstBiteCHS


Working Knowledge


Daily Digest


Same Difference


Restaurant health inspections
















Categories




Music


Events Calendar


Television


Comics & Games


Visual Arts








Latest From Charleston Scene














Another MTV VMAs, another controversial Miley Cyrus




















Lowcountry Jazz Festival entertains, raises awareness of health disparities














Farther-flung communities are worth finding










Additional Links




Photo Galleries


Beaches


Get Out


Theater
















Categories




Health


Home & Garden


Arts


Faith


Books


Pets


Contests


Your Photos








Latest News








Amazon Prime benefits you didn’t realize you can get




















Brewers question alcohol distribution system




















Product recalls










Additional Links




David Quick


Warren Peper


Health & Fitness Blog


Anniversaries & Births


Weddings & Engagements
















Categories




Editorials


Letters


Commentary








Latest News














Report: Shocking IRS behavior




















Another chance for historic sub




















To fix S.C. roads, raise the gas tax










Additional Links




Submit a letter














Search Obituaries










Classifieds


Marketplace


Jobs


Autos


Real Estate


Recreation


Pets


Jobs (Mobile)


Place an Ad






















Special Coverage


Left Behind: The unintended consequences of school choice


×



















				News
			




























Share
















Charleston shooting victim Sharonda Coleman-Singleton was mother, teacher, coach, minister








Jeff Hartsell




 
Email


 
Facebook


 
@jeff_fromthepc








Jun 18 2015 1:34 pm


 Jun 19 11:24 am

























        Sharonda Coleman-Singleton with her son Chris Singleton, a Charleston Southern baseball player, on his senior night during basketball season at Goose Creek High School. 
File











		Mother, teacher, coach, minister — Sharonda Coleman-Singleton did all of it, and with a smile and a style those who knew her will not soon forget.
	

		“She always had a smile on her face ... an awesome smile,” said one colleague at Goose Creek High School.
	

		“When she came to games, you knew she was there,” said Goose Creek Principal Jimmy Huskey. “She was going to be yelling and screaming for the Gators, and she loved Goose Creek High School.”
	









		Coleman-Singleton, 45, was one of nine people killed Wednesday night in the shooting at Emanuel AME Church in Charleston. She was a minister on staff at the historic church, a role she fulfilled on top of her duties as a speech pathologist and girls track and field coach at Goose Creek High.
	

		But the most important role she played was as the mother of three children, including her oldest, Charleston Southern sophomore baseball player Chris Singleton.
	

		“She loved baseball and loved Chris,” Goose Creek baseball coach Chris Pond said. “She loved everyone and always had a positive attitude about everything.”
	

		Coleman-Singleton ran track herself, at South Carolina State University, where she helped her team to a conference championship and earned a degree in speech pathology and audiology in 1991. A member of the Alpha Kappa Alpha sorority, she also earned a master’s degree from Montclair State in her native New Jersey.
	

		She worked in school districts in Georgia before joining the Berkeley County School District in 2007, working first at Stratford and for the last eight years at Goose Creek. She earned a reputation at the latter as a fierce advocate for her students.
	

		“She was a bulldog when it came to her kids,” an emotional Huskey said Thursday. “She cared about her kids. She was a true team player, but she always wanted more for her kids, and I admired her for that.”
	

		As the Gators’ track coach, Coleman-Singleton attended to more than her athletes’ technique and times.
	

		“It’s 95 degrees out there, and she’s with those girls every day,” Huskey said. “She taught those young ladies how to be better young ladies, and that can never be replaced.”
	

		Coleman-Singleton’s older son, Chris, was a two-sport star at Goose Creek, playing baseball and basketball. She called him “Lil Chris” and sat proudly by his side on the day he signed a letter of intent to play baseball at Charleston Southern.
	

